Retailer Code,Retailer Name,Door Code,Door Name,Door Zip Code,Year,Week,UPC,SKU Descreption,POS Units,POS Amount
SEP,SEPHORA CANADA,234614,SEPHORA #544 SHERWAY GARDENS,M9C 1B8,2018,182018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,236358,SEPHORA #552 BAYSHORE,K2B 8C1,2018,182018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,-1.0,
SEP,SEPHORA CANADA,238745,SEPHORA # 586 ANJOU,H1M 1W9,2018,182018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,241089,SEPHORA DOTCA E-COMMERCE,L6T 5A3,2018,182018,3605971282027,LC TIU CAMO CNCLR 260 BISQUE N 14G,1.0,
SEP,SEPHORA CANADA,240147,SEPHORA #598 DEVONSHIRE,N8X 3Y7,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,240149,SEPHORA #846 ROBSON,V6Z 2V7,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,240923,SEPHORA #856 HILLCREST,L4C 5G2,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,-1.0,
SEP,SEPHORA CANADA,241089,SEPHORA DOTCA E-COMMERCE,L6T 5A3,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,243166,SEPHORA # 872 SUDBURY,P3A 1Z2,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,224677,SEPHORA #502 YORKDALE,M6A 2T9,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,234614,SEPHORA #544 SHERWAY GARDENS,M9C 1B8,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,-1.0,
SEP,SEPHORA CANADA,233279,SEPHORA #542 LONDON WHITE OAKS,N6E 1V4,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,231969,SEPHORA #532 STE-FOY,G1V 2L1,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,232033,SEPHORA #534 SOUTHGATE CENTER,T6H 4M6,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,237553,SEPHORA #576 LIMERIDGE MALL,L9A 4X5,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,1.0,
SEP,SEPHORA CANADA,238746,SEPHORA # 584 MARKEVILLE,L3R 4M9,2018,182018,3365440124387,YSLB TRACEUR YEUX AUTOMATIQUE 01 1.2ML,-1.0,
LON,LONDON DRUGS,218824,LONDON DRUGS #35,V2C 1Y3,2018,192018,3614270355615,CACHAR GWP CAPELINE SUMMER 2015,2.0,
LON,LONDON DRUGS,215802,LONDON DRUGS #12,V1Y 8J8,2018,22018,772192603627,BIOTH KIT  W WINTER (BIOMAINS+DEEP S),1.0,
LON,LONDON DRUGS,216453,LONDON DRUGS #53,V5P 3W2,2018,22018,772192611097,BIOTH GWP SPRING LD GREEN 2017,1.0,
PJC,JEAN-COUTU,214948,PHCIE J.COUTU #186,G3Z 2W3,2018,12018,3614271661135,BIOTH BIOS DS STARTER KIT WOMEN S1 17,2.0,
PJC,JEAN-COUTU,218058,PHCIE J.COUTU #117 - INACTIF,G4W 1A7,2018,22018,3614271661135,BIOTH BIOS DS STARTER KIT WOMEN S1 17,1.0,
PJC,JEAN-COUTU,217479,PHCIE J.COUTU #169,H7C 1M4,2018,22018,3614271661135,BIOTH BIOS DS STARTER KIT WOMEN S1 17,1.0,
LON,LONDON DRUGS,217450,LONDON DRUGS #28,V5R 5L1,2018,32018,3614271698810,GA M COIN & CARD HOLDER 17,1.0,
PJC,JEAN-COUTU,214651,PHCIE J.COUTU #039,J3V 1P8,2018,32018,3614271661135,BIOTH BIOS DS STARTER KIT WOMEN S1 17,1.0,
PJC,JEAN-COUTU,216467,PHCIE J.COUTU #054,J7A 2H3,2018,32018,3614271661135,BIOTH BIOS DS STARTER KIT WOMEN S1 17,1.0,
PJC,JEAN-COUTU,211773,PHCIE J.COUTU #260,H3S 2A1,2018,42018,3614271661135,BIOTH BIOS DS STARTER KIT WOMEN S1 17,1.0,
PJC,JEAN-COUTU,210720,PHCIE J.COUTU #180,J3Y 7R9,2018,42018,3614271661135,BIOTH BIOS DS STARTER KIT WOMEN S1 17,1.0,
LON,LONDON DRUGS,216829,LONDON DRUGS #17,V4C 6P5,2018,42018,3614271698810,GA M COIN & CARD HOLDER 17,2.0,
